"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;"24 Août 2016";"24/08/2016";"Total";;"100,00%";"--";"--";30
;;;;"Mercredi";"Total";"100,00%";"--";"--";30
;;;;;"10 - 11 heures";"-4,96%";-1;78;-1
;;;;;"11 - 12 heures";"10,56%";3;55,33;3
;;;;;"12 - 13 heures";"3,25%";1;51;3
;;;;;"13 - 14 heures";"5,92%";2;46,5;2
;;;;;"14 - 15 heures";"25,07%";5;78,8;7
;;;;;"15 - 16 heures";"33,73%";4;132,5;7
;;;;;"16 - 17 heures";"25,58%";4;100,5;8
;;;;;"18 - 19 heures";"0,86%";1;13,5;1
;;"25 Août 2016";"25/08/2016";"Total";;"100,00%";"--";"--";40
;;;;"Jeudi";"Total";"100,00%";"--";"--";40
;;;;;"10 - 11 heures";"1,97%";1;34;1
;;;;;"12 - 13 heures";"7,27%";2;62,75;3
;;;;;"13 - 14 heures";"19,16%";3;110,33;7
;;;;;"14 - 15 heures";"14,07%";3;81;6
;;;;;"15 - 16 heures";"20,61%";3;118,67;5
;;;;;"16 - 17 heures";"5,67%";1;98;2
;;;;;"17 - 18 heures";"7,17%";3;41,3;4
;;;;;"18 - 19 heures";"12,79%";4;55,25;7
;;;;;"19 - 20 heures";"11,29%";3;65;5
;;"26 Août 2016";"26/08/2016";"Total";;"100,00%";"--";"--";35
;;;;"Vendredi";"Total";"100,00%";"--";"--";35
;;;;;"11 - 12 heures";"12,95%";3;62;5
;;;;;"12 - 13 heures";"32,70%";4;117,43;9
;;;;;"15 - 16 heures";"16,43%";3;78,67;6
;;;;;"16 - 17 heures";"21,65%";6;51,83;9
;;;;;"17 - 18 heures";"6,39%";2;45,9;3
;;;;;"19 - 20 heures";"9,89%";2;71;3
;;"27 Août 2016";"27/08/2016";"Total";;"100,00%";"--";"--";38
;;;;"Samedi";"Total";"100,00%";"--";"--";38
;;;;;"11 - 12 heures";"25,99%";5;74;9
;;;;;"12 - 13 heures";"15,10%";4;53,73;7
;;;;;"14 - 15 heures";"3,93%";1;56;2
;;;;;"15 - 16 heures";"9,77%";2;69,5;3
;;;;;"16 - 17 heures";"39,52%";7;80,36;14
;;;;;"17 - 18 heures";"0,00%";0;;0
;;;;;"18 - 19 heures";"1,76%";1;25;1
;;;;;"19 - 20 heures";"3,93%";1;56;2
;;"29 Août 2016";"29/08/2016";"Total";;"100,00%";"--";"--";38
;;;;"Lundi";"Total";"100,00%";"--";"--";38
;;;;;"10 - 11 heures";"3,14%";2;24,5;2
;;;;;"11 - 12 heures";"1,86%";1;29;1
;;;;;"12 - 13 heures";"7,74%";3;40,33;5
;;;;;"13 - 14 heures";"6,20%";1;96,8;2
;;;;;"14 - 15 heures";"4,10%";1;64;1
;;;;;"15 - 16 heures";"15,30%";4;59,75;5
;;;;;"16 - 17 heures";"18,92%";4;73,9;6
;;;;;"17 - 18 heures";"9,92%";2;77,5;3
;;;;;"18 - 19 heures";"30,27%";5;94,6;12
;;;;;"19 - 20 heures";"2,56%";1;40;1
;;"30 Août 2016";"30/08/2016";"Total";;"100,00%";"--";"--";24
;;;;"Mardi";"Total";"100,00%";"--";"--";24
;;;;;"11 - 12 heures";"15,69%";2;87,8;3
;;;;;"12 - 13 heures";"6,20%";1;69,4;2
;;;;;"13 - 14 heures";"0,00%";0;;0
;;;;;"14 - 15 heures";"6,52%";2;36,5;3
;;;;;"15 - 16 heures";"13,76%";3;51,33;4
;;;;;"16 - 17 heures";"30,66%";2;171,6;5
;;;;;"17 - 18 heures";"10,36%";2;58;5
;;;;;"18 - 19 heures";"7,15%";1;80;1
;;;;;"20 - 21 heures";"9,65%";1;108;1
;;"31 Août 2016";"31/08/2016";"Total";;"100,00%";"--";"--";42
;;;;"Mercredi";"Total";"100,00%";"--";"--";42
;;;;;"11 - 12 heures";"3,31%";1;47;1
;;;;;"12 - 13 heures";"4,42%";1;62,7;5
;;;;;"13 - 14 heures";"23,59%";4;83,75;8
;;;;;"14 - 15 heures";"35,96%";3;170,2;13
;;;;;"15 - 16 heures";"10,42%";1;148;5
;;;;;"17 - 18 heures";"17,36%";4;61,63;8
;;;;;"18 - 19 heures";"4,93%";1;70;2
;;"01 Septembre 2016";"01/09/2016";"Total";;"100,00%";"--";"--";31
;;;;"Jeudi";"Total";"100,00%";"--";"--";31
;;;;;"10 - 11 heures";"5,54%";2;40;2
;;;;;"11 - 12 heures";"10,66%";3;51,33;3
;;;;;"12 - 13 heures";"24,03%";2;173,5;4
;;;;;"15 - 16 heures";"21,40%";3;103;9
;;;;;"16 - 17 heures";"6,09%";2;44;3
;;;;;"17 - 18 heures";"24,18%";4;87,3;8
;;;;;"18 - 19 heures";"1,73%";1;25;1
;;;;;"19 - 20 heures";"6,37%";1;92;1
;;"02 Septembre 2016";"02/09/2016";"Total";;"100,00%";"--";"--";52
;;;;"Vendredi";"Total";"100,00%";"--";"--";52
;;;;;"10 - 11 heures";"0,68%";1;16;1
;;;;;"11 - 12 heures";"7,77%";2;92;3
;;;;;"12 - 13 heures";"15,29%";3;120,67;9
;;;;;"13 - 14 heures";"16,18%";3;127,73;9
;;;;;"14 - 15 heures";"13,77%";6;54,33;11
;;;;;"15 - 16 heures";"3,17%";1;75;2
;;;;;"16 - 17 heures";"14,28%";3;112,67;4
;;;;;"17 - 18 heures";"11,32%";5;53,6;6
;;;;;"18 - 19 heures";"5,49%";1;130;2
;;;;;"19 - 20 heures";"4,56%";1;108;2
;;;;;"20 - 21 heures";"7,50%";1;177,5;3
;;"03 Septembre 2016";"03/09/2016";"Total";;"100,00%";"--";"--";79
;;;;"Samedi";"Total";"100,00%";"--";"--";79
;;;;;"10 - 11 heures";"17,05%";4;166;12
;;;;;"11 - 12 heures";"1,28%";1;50;2
;;;;;"12 - 13 heures";"22,96%";8;111,75;19
;;;;;"14 - 15 heures";"6,32%";5;49,2;8
;;;;;"15 - 16 heures";"4,79%";3;62,2;4
;;;;;"16 - 17 heures";"22,80%";5;177,6;11
;;;;;"17 - 18 heures";"12,65%";7;70,36;12
;;;;;"18 - 19 heures";"7,99%";3;103,67;7
;;;;;"19 - 20 heures";"4,16%";2;81;4
;;"05 Septembre 2016";"05/09/2016";"Total";;"100,00%";"--";"--";39
;;;;"Lundi";"Total";"100,00%";"--";"--";39
;;;;;"10 - 11 heures";"12,10%";2;123,5;4
;;;;;"11 - 12 heures";"6,03%";2;61,5;4
;;;;;"12 - 13 heures";"3,62%";1;74;2
;;;;;"13 - 14 heures";"0,78%";1;16;1
;;;;;"14 - 15 heures";"1,27%";2;13;2
;;;;;"15 - 16 heures";"16,24%";4;82,88;8
;;;;;"16 - 17 heures";"6,17%";1;126;3
;;;;;"17 - 18 heures";"3,86%";2;39,45;2
;;;;;"18 - 19 heures";"49,92%";4;254,75;13
;;"06 Septembre 2016";"06/09/2016";"Total";;"100,00%";"--";"--";57
;;;;"Mardi";"Total";"100,00%";"--";"--";57
;;;;;"9 - 10 heures";"2,44%";1;61;1
;;;;;"11 - 12 heures";"5,69%";4;35,5;8
;;;;;"12 - 13 heures";"10,77%";3;89,67;5
;;;;;"13 - 14 heures";"6,13%";3;51;5
;;;;;"14 - 15 heures";"15,46%";4;96,55;7
;;;;;"15 - 16 heures";"2,02%";2;25,25;2
;;;;;"16 - 17 heures";"22,82%";4;142,5;11
;;;;;"17 - 18 heures";"11,17%";3;93;7
;;;;;"18 - 19 heures";"18,85%";3;156,93;9
;;;;;"19 - 20 heures";"4,64%";1;116;2
;;"07 Septembre 2016";"07/09/2016";"Total";;"100,00%";"--";"--";44
;;;;"Mercredi";"Total";"100,00%";"--";"--";44
;;;;;"10 - 11 heures";"12,71%";2;111,5;4
;;;;;"11 - 12 heures";"0,94%";1;16,5;1
;;;;;"12 - 13 heures";"10,91%";3;63,83;5
;;;;;"13 - 14 heures";"4,62%";1;81;1
;;;;;"14 - 15 heures";"8,66%";3;50,67;4
;;;;;"15 - 16 heures";"11,22%";3;65,63;7
;;;;;"16 - 17 heures";"8,72%";2;76,5;3
;;;;;"17 - 18 heures";"7,35%";1;129;3
;;;;;"18 - 19 heures";"17,21%";4;75,5;8
;;;;;"19 - 20 heures";"11,97%";3;70;6
;;;;;"20 - 21 heures";"5,70%";1;100;2
;;"08 Septembre 2016";"08/09/2016";"Total";;"100,00%";"--";"--";47
;;;;"Jeudi";"Total";"100,00%";"--";"--";47
;;;;;"9 - 10 heures";"3,34%";1;68;1
;;;;;"10 - 11 heures";"8,52%";3;57,83;5
;;;;;"11 - 12 heures";"15,35%";2;156,4;6
;;;;;"12 - 13 heures";"8,81%";4;44,88;5
;;;;;"13 - 14 heures";"12,81%";2;130,5;4
;;;;;"15 - 16 heures";"12,52%";2;127,5;4
;;;;;"16 - 17 heures";"20,09%";5;81,86;10
;;;;;"17 - 18 heures";"14,82%";3;100,67;9
;;;;;"18 - 19 heures";"3,75%";1;76,4;3
;;"09 Septembre 2016";"09/09/2016";"Total";;"100,00%";"--";"--";36
;;;;"Vendredi";"Total";"100,00%";"--";"--";36
;;;;;"10 - 11 heures";"8,12%";2;65;4
;;;;;"11 - 12 heures";"23,83%";2;190,9;8
;;;;;"12 - 13 heures";"1,50%";0;;2
;;;;;"13 - 14 heures";"29,84%";3;159,33;11
;;;;;"14 - 15 heures";"2,65%";2;21,25;2
;;;;;"15 - 16 heures";"6,34%";1;101,6;2
;;;;;"16 - 17 heures";"5,62%";2;45;2
;;;;;"17 - 18 heures";"4,00%";1;64;1
;;;;;"19 - 20 heures";"18,10%";3;96,67;4
;;"10 Septembre 2016";"10/09/2016";"Total";;"100,00%";"--";"--";71
;;;;"Samedi";"Total";"100,00%";"--";"--";71
;;;;;"10 - 11 heures";"4,81%";2;66;2
;;;;;"11 - 12 heures";"4,92%";3;45;3
;;;;;"12 - 13 heures";"4,96%";2;68;2
;;;;;"13 - 14 heures";"9,22%";3;84,33;7
;;;;;"14 - 15 heures";"9,58%";4;65,73;8
;;;;;"15 - 16 heures";"18,82%";7;73,74;15
;;;;;"16 - 17 heures";"13,09%";2;179,5;5
;;;;;"17 - 18 heures";"23,88%";9;72,78;17
;;;;;"18 - 19 heures";"10,24%";6;46,83;11
;;;;;"19 - 20 heures";"0,47%";1;13;1
;;"12 Septembre 2016";"12/09/2016";"Total";;"100,00%";"--";"--";50
;;;;"Lundi";"Total";"100,00%";"--";"--";50
;;;;;"10 - 11 heures";"6,05%";1;123;2
;;;;;"11 - 12 heures";"3,15%";1;64;2
;;;;;"12 - 13 heures";"7,24%";2;73,5;4
;;;;;"13 - 14 heures";"4,63%";2;47;3
;;;;;"14 - 15 heures";"6,67%";4;33,88;5
;;;;;"15 - 16 heures";"5,02%";2;51;4
;;;;;"16 - 17 heures";"13,68%";4;69,5;8
;;;;;"17 - 18 heures";"10,24%";3;69,33;4
;;;;;"18 - 19 heures";"18,11%";3;122,67;9
;;;;;"19 - 20 heures";"9,94%";1;202;5
;;;;;"20 - 21 heures";"15,26%";2;155;4
;;"13 Septembre 2016";"13/09/2016";"Total";;"100,00%";"--";"--";34
;;;;"Mardi";"Total";"100,00%";"--";"--";34
;;;;;"11 - 12 heures";"9,07%";3;49,17;5
;;;;;"12 - 13 heures";"2,46%";1;40;1
;;;;;"13 - 14 heures";"7,90%";2;64,25;3
;;;;;"14 - 15 heures";"4,67%";1;76;2
;;;;;"15 - 16 heures";"7,32%";1;119;2
;;;;;"16 - 17 heures";"32,62%";6;88,42;10
;;;;;"17 - 18 heures";"26,32%";3;142,67;6
;;;;;"18 - 19 heures";"8,85%";3;48;4
;;;;;"19 - 20 heures";"0,79%";1;12,9;1
;;"14 Septembre 2016";"14/09/2016";"Total";;"100,00%";"--";"--";40
;;;;"Mercredi";"Total";"100,00%";"--";"--";40
;;;;;"11 - 12 heures";"6,56%";1;111;1
;;;;;"12 - 13 heures";"4,17%";2;35,25;2
;;;;;"13 - 14 heures";"15,02%";3;84,67;4
;;;;;"14 - 15 heures";"7,80%";2;66;3
;;;;;"15 - 16 heures";"18,62%";6;52,5;7
;;;;;"16 - 17 heures";"17,50%";4;74;10
;;;;;"17 - 18 heures";"13,89%";3;78,33;6
;;;;;"18 - 19 heures";"9,52%";3;53,67;4
;;;;;"19 - 20 heures";"6,92%";1;117;3
;;"15 Septembre 2016";"15/09/2016";"Total";;"100,00%";"--";"--";35
;;;;"Jeudi";"Total";"100,00%";"--";"--";35
;;;;;"11 - 12 heures";"3,18%";2;26,5;2
;;;;;"12 - 13 heures";"6,18%";1;103;4
;;;;;"13 - 14 heures";"11,54%";3;64,17;4
;;;;;"14 - 15 heures";"6,66%";1;111;2
;;;;;"15 - 16 heures";"14,51%";2;121;5
;;;;;"16 - 17 heures";"20,03%";3;111,33;7
;;;;;"17 - 18 heures";"20,63%";2;172;5
;;;;;"18 - 19 heures";"14,21%";3;79;5
;;;;;"19 - 20 heures";"3,06%";1;51;1
;;"16 Septembre 2016";"16/09/2016";"Total";;"100,00%";"--";"--";41
;;;;"Vendredi";"Total";"100,00%";"--";"--";41
;;;;;"10 - 11 heures";"11,82%";2;123;4
;;;;;"12 - 13 heures";"12,35%";3;85,67;5
;;;;;"13 - 14 heures";"19,82%";4;103,13;9
;;;;;"14 - 15 heures";"11,15%";2;116;5
;;;;;"15 - 16 heures";"11,29%";4;58,75;7
;;;;;"16 - 17 heures";"22,39%";5;93,2;7
;;;;;"17 - 18 heures";"11,19%";2;116,5;4
;;"17 Septembre 2016";"17/09/2016";"Total";;"100,00%";"--";"--";96
;;;;"Samedi";"Total";"100,00%";"--";"--";96
;;;;;"10 - 11 heures";"1,22%";2;30;2
;;;;;"11 - 12 heures";"11,15%";6;91,17;14
;;;;;"12 - 13 heures";"14,45%";5;141,78;12
;;;;;"13 - 14 heures";"13,10%";3;214,27;12
;;;;;"14 - 15 heures";"3,61%";3;59;7
;;;;;"15 - 16 heures";"5,79%";4;71;7
;;;;;"16 - 17 heures";"22,27%";9;121,38;19
;;;;;"17 - 18 heures";"14,51%";6;118,65;12
;;;;;"18 - 19 heures";"7,60%";2;186,5;6
;;;;;"19 - 20 heures";"6,30%";2;154,5;5
;;"19 Septembre 2016";"19/09/2016";"Total";;"100,00%";"--";"--";68
;;;;"Lundi";"Total";"100,00%";"--";"--";68
;;;;;"11 - 12 heures";"21,29%";6;93;16
;;;;;"12 - 13 heures";"2,90%";2;38;2
;;;;;"13 - 14 heures";"8,05%";1;211;2
;;;;;"14 - 15 heures";"3,59%";2;47;2
;;;;;"15 - 16 heures";"37,40%";12;81,7;31
;;;;;"16 - 17 heures";"9,65%";3;84,33;5
;;;;;"17 - 18 heures";"17,13%";5;89,8;10
;;"20 Septembre 2016";"20/09/2016";"Total";;"100,00%";"--";"--";29
;;;;"Mardi";"Total";"100,00%";"--";"--";29
;;;;;"10 - 11 heures";"3,38%";2;23,5;3
;;;;;"11 - 12 heures";"19,11%";3;88,5;8
;;;;;"13 - 14 heures";"4,53%";1;63;2
;;;;;"14 - 15 heures";"6,91%";2;48;2
;;;;;"15 - 16 heures";"28,07%";3;130;6
;;;;;"16 - 17 heures";"29,87%";3;138,33;5
;;;;;"17 - 18 heures";"8,13%";2;56,5;3
;;"21 Septembre 2016";"21/09/2016";"Total";;"100,00%";"--";"--";74
;;;;"Mercredi";"Total";"100,00%";"--";"--";74
;;;;;"10 - 11 heures";"5,57%";2;107;4
;;;;;"11 - 12 heures";"12,68%";6;81,17;13
;;;;;"12 - 13 heures";"8,67%";2;166,5;5
;;;;;"13 - 14 heures";"20,36%";5;156,4;13
;;;;;"14 - 15 heures";"1,46%";1;56;1
;;;;;"15 - 16 heures";"12,48%";5;95,82;12
;;;;;"16 - 17 heures";"12,94%";5;99,4;9
;;;;;"17 - 18 heures";"8,80%";3;112,67;7
;;;;;"18 - 19 heures";"6,28%";2;120,5;3
;;;;;"19 - 20 heures";"10,75%";2;206,5;7
;;"22 Septembre 2016";"22/09/2016";"Total";;"100,00%";"--";"--";76
;;;;"Jeudi";"Total";"100,00%";"--";"--";76
;;;;;"10 - 11 heures";"11,05%";4;99,75;8
;;;;;"11 - 12 heures";"11,38%";5;82,18;9
;;;;;"12 - 13 heures";"10,27%";3;123,6;8
;;;;;"13 - 14 heures";"0,00%";0;;0
;;;;;"14 - 15 heures";"14,02%";6;84,42;13
;;;;;"15 - 16 heures";"9,75%";6;58,68;7
;;;;;"16 - 17 heures";"7,06%";3;85;6
;;;;;"17 - 18 heures";"7,45%";5;53,8;6
;;;;;"18 - 19 heures";"7,54%";4;68,1;6
;;;;;"19 - 20 heures";"17,96%";5;129,76;11
;;;;;"20 - 21 heures";"3,52%";2;63,5;2
;;"23 Septembre 2016";"23/09/2016";"Total";;"100,00%";"--";"--";73
;;;;"Vendredi";"Total";"100,00%";"--";"--";73
;;;;;"10 - 11 heures";"5,74%";2;110,5;9
;;;;;"11 - 12 heures";"9,49%";5;73,1;7
;;;;;"12 - 13 heures";"2,96%";3;38;3
;;;;;"13 - 14 heures";"4,73%";1;182;5
;;;;;"14 - 15 heures";"35,24%";6;226,17;18
;;;;;"15 - 16 heures";"4,18%";2;80,5;2
;;;;;"16 - 17 heures";"23,58%";7;129,71;17
;;;;;"17 - 18 heures";"13,18%";4;126,88;11
;;;;;"20 - 21 heures";"0,91%";1;35;1
;;"24 Septembre 2016";"24/09/2016";"Total";;"100,00%";"--";"--";100
;;;;"Samedi";"Total";"100,00%";"--";"--";100
;;;;;"10 - 11 heures";"0,56%";1;23,9;3
;;;;;"11 - 12 heures";"6,10%";4;65,5;7
;;;;;"12 - 13 heures";"5,76%";4;61,9;9
;;;;;"13 - 14 heures";"2,33%";1;100;2
;;;;;"14 - 15 heures";"9,42%";5;81;8
;;;;;"15 - 16 heures";"18,08%";2;388,5;8
;;;;;"16 - 17 heures";"23,01%";10;98,9;22
;;;;;"17 - 18 heures";"12,71%";5;109,26;17
;;;;;"18 - 19 heures";"14,02%";5;120,56;16
;;;;;"19 - 20 heures";"8,02%";4;86,13;8
;;"26 Septembre 2016";"26/09/2016";"Total";;"100,00%";"--";"--";24
;;;;"Lundi";"Total";"100,00%";"--";"--";24
;;;;;"11 - 12 heures";"34,18%";3;124;5
;;;;;"12 - 13 heures";"9,83%";1;107;2
;;;;;"13 - 14 heures";"21,18%";2;115,25;5
;;;;;"15 - 16 heures";"6,43%";1;70;2
;;;;;"18 - 19 heures";"14,32%";0;;7
;;;;;"19 - 20 heures";"14,06%";2;76,5;3
;;"27 Septembre 2016";"27/09/2016";"Total";;"100,00%";"--";"--";51
;;;;"Mardi";"Total";"100,00%";"--";"--";51
;;;;;"10 - 11 heures";"2,47%";1;49;1
;;;;;"11 - 12 heures";"4,04%";1;80;2
;;;;;"12 - 13 heures";"11,06%";5;43,8;8
;;;;;"13 - 14 heures";"13,56%";4;67,13;8
;;;;;"14 - 15 heures";"18,18%";2;180;8
;;;;;"15 - 16 heures";"3,79%";3;25;1
;;;;;"16 - 17 heures";"21,74%";5;86,1;12
;;;;;"17 - 18 heures";"13,74%";3;90,67;6
;;;;;"19 - 20 heures";"11,41%";3;75,3;5
;;"28 Septembre 2016";"28/09/2016";"Total";;"100,00%";"--";"--";26
;;;;"Mercredi";"Total";"100,00%";"--";"--";26
;;;;;"10 - 11 heures";"0,51%";1;6;1
;;;;;"12 - 13 heures";"8,03%";2;47,5;3
;;;;;"14 - 15 heures";"9,94%";3;39,17;3
;;;;;"15 - 16 heures";"18,99%";2;112,25;3
;;;;;"16 - 17 heures";"3,21%";1;38;3
;;;;;"17 - 18 heures";"17,93%";2;106;4
;;;;;"18 - 19 heures";"41,39%";2;244,7;9
;;"29 Septembre 2016";"29/09/2016";"Total";;"100,00%";"--";"--";38
;;;;"Jeudi";"Total";"100,00%";"--";"--";38
;;;;;"10 - 11 heures";"9,19%";2;75,5;4
;;;;;"11 - 12 heures";"19,40%";3;106,27;9
;;;;;"12 - 13 heures";"4,14%";1;68;1
;;;;;"13 - 14 heures";"14,63%";1;240,45;5
;;;;;"14 - 15 heures";"7,67%";1;126;2
;;;;;"15 - 16 heures";"17,52%";3;96;4
;;;;;"16 - 17 heures";"1,37%";2;11,25;2
;;;;;"17 - 18 heures";"9,18%";3;50,3;6
;;;;;"18 - 19 heures";"0,79%";1;13;1
;;;;;"19 - 20 heures";"16,12%";2;132,5;4
;;"30 Septembre 2016";"30/09/2016";"Total";;"100,00%";"--";"--";82
;;;;"Vendredi";"Total";"100,00%";"--";"--";82
;;;;;"10 - 11 heures";"3,33%";2;57,25;3
;;;;;"11 - 12 heures";"6,23%";2;107,2;7
;;;;;"12 - 13 heures";"5,08%";1;175;5
;;;;;"13 - 14 heures";"26,28%";3;301,67;12
;;;;;"14 - 15 heures";"15,91%";7;78,29;14
;;;;;"15 - 16 heures";"4,24%";2;73;4
;;;;;"16 - 17 heures";"4,85%";5;33,4;7
;;;;;"17 - 18 heures";"1,54%";3;17,67;4
;;;;;"18 - 19 heures";"26,38%";7;129,74;20
;;;;;"19 - 20 heures";"6,16%";2;106,1;6
;;"01 Octobre 2016";"01/10/2016";"Total";;"100,00%";"--";"--";119
;;;;"Samedi";"Total";"100,00%";"--";"--";119
;;;;;"10 - 11 heures";"0,27%";1;13;1
;;;;;"11 - 12 heures";"2,32%";4;27,63;5
;;;;;"12 - 13 heures";"7,38%";6;58,69;8
;;;;;"13 - 14 heures";"3,62%";5;34,5;9
;;;;;"14 - 15 heures";"9,81%";8;58,5;12
;;;;;"15 - 16 heures";"21,27%";12;84,51;27
;;;;;"16 - 17 heures";"22,75%";11;98,64;22
;;;;;"17 - 18 heures";"17,82%";11;77,25;20
;;;;;"18 - 19 heures";"11,51%";6;91,47;14
;;;;;"19 - 20 heures";"3,25%";1;155;1
;;"03 Octobre 2016";"03/10/2016";"Total";;"100,00%";"--";"--";63
;;;;"Lundi";"Total";"100,00%";"--";"--";63
;;;;;"10 - 11 heures";"7,67%";2;89,4;9
;;;;;"11 - 12 heures";"14,09%";4;82,18;9
;;;;;"12 - 13 heures";"5,18%";2;60,45;4
;;;;;"13 - 14 heures";"5,02%";2;58,5;5
;;;;;"14 - 15 heures";"5,44%";3;42,33;4
;;;;;"15 - 16 heures";"19,85%";5;92,6;8
;;;;;"16 - 17 heures";"14,80%";5;69,04;9
;;;;;"17 - 18 heures";"12,69%";5;59,18;8
;;;;;"18 - 19 heures";"11,73%";3;91,17;5
;;;;;"19 - 20 heures";"3,54%";2;41,25;2
;;"04 Octobre 2016";"04/10/2016";"Total";;"100,00%";"--";"--";51
;;;;"Mardi";"Total";"100,00%";"--";"--";51
;;;;;"10 - 11 heures";"3,66%";2;37,6;3
;;;;;"11 - 12 heures";"10,41%";2;107;5
;;;;;"12 - 13 heures";"11,34%";6;38,85;9
;;;;;"13 - 14 heures";"2,94%";2;30,25;2
;;;;;"14 - 15 heures";"9,50%";5;39,06;6
;;;;;"15 - 16 heures";"27,56%";6;94,42;10
;;;;;"16 - 17 heures";"9,14%";2;93,9;4
;;;;;"17 - 18 heures";"11,24%";4;57,75;5
;;;;;"19 - 20 heures";"4,19%";2;43,1;3
;;;;;"20 - 21 heures";"10,02%";2;103;4
;;"05 Octobre 2016";"05/10/2016";"Total";;"100,00%";"--";"--";55
;;;;"Mercredi";"Total";"100,00%";"--";"--";55
;;;;;"10 - 11 heures";"1,12%";2;11,25;2
;;;;;"11 - 12 heures";"14,91%";1;299;8
;;;;;"12 - 13 heures";"0,42%";1;8,5;1
;;;;;"13 - 14 heures";"22,94%";6;76,65;13
;;;;;"14 - 15 heures";"7,93%";2;79,5;3
;;;;;"15 - 16 heures";"23,92%";5;95,9;10
;;;;;"16 - 17 heures";"16,86%";5;67,6;10
;;;;;"18 - 19 heures";"5,73%";2;57,45;4
;;;;;"19 - 20 heures";"6,16%";2;61,75;4
;;"06 Octobre 2016";"06/10/2016";"Total";;"100,00%";"--";"--";48
;;;;"Jeudi";"Total";"100,00%";"--";"--";48
;;;;;"9 - 10 heures";"0,33%";1;6;1
;;;;;"10 - 11 heures";"3,89%";1;71;2
;;;;;"11 - 12 heures";"2,06%";2;18,85;4
;;;;;"13 - 14 heures";"6,73%";3;41;5
;;;;;"14 - 15 heures";"3,48%";2;31,75;2
;;;;;"15 - 16 heures";"31,97%";4;146,05;8
;;;;;"16 - 17 heures";"23,43%";4;107;9
;;;;;"17 - 18 heures";"1,44%";2;13,2;2
;;;;;"18 - 19 heures";"9,51%";4;43,45;5
;;;;;"19 - 20 heures";"14,18%";4;64,75;8
;;;;;"20 - 21 heures";"2,98%";2;27,25;2
;;"07 Octobre 2016";"07/10/2016";"Total";;"100,00%";"--";"--";40
;;;;"Vendredi";"Total";"100,00%";"--";"--";40
;;;;;"11 - 12 heures";"27,98%";5;66,52;9
;;;;;"12 - 13 heures";"3,58%";2;21,25;3
;;;;;"14 - 15 heures";"11,44%";2;68;4
;;;;;"15 - 16 heures";"13,29%";3;52,67;5
;;;;;"16 - 17 heures";"16,23%";4;48,25;8
;;;;;"17 - 18 heures";"0,93%";1;11;1
;;;;;"18 - 19 heures";"14,76%";3;58,5;7
;;;;;"20 - 21 heures";"11,79%";1;140,2;3
;;"08 Octobre 2016";"08/10/2016";"Total";;"100,00%";"--";"--";166
;;;;"Samedi";"Total";"100,00%";"--";"--";166
;;;;;"10 - 11 heures";"1,96%";2;52,25;3
;;;;;"11 - 12 heures";"2,80%";2;74,85;5
;;;;;"12 - 13 heures";"3,76%";5;40,22;8
;;;;;"13 - 14 heures";"8,48%";4;113,38;7
;;;;;"14 - 15 heures";"13,83%";10;73,9;23
;;;;;"15 - 16 heures";"27,25%";10;145,64;43
;;;;;"16 - 17 heures";"14,84%";9;88,11;20
;;;;;"17 - 18 heures";"13,56%";13;55,75;24
;;;;;"18 - 19 heures";"12,14%";8;81,13;28
;;;;;"19 - 20 heures";"0,73%";1;39;3
;;;;;"20 - 21 heures";"0,65%";1;35;2
;;"10 Octobre 2016";"10/10/2016";"Total";;"100,00%";"--";"--";44
;;;;"Lundi";"Total";"100,00%";"--";"--";44
;;;;;"10 - 11 heures";"3,56%";1;61;1
;;;;;"11 - 12 heures";"12,45%";3;71;5
;;;;;"13 - 14 heures";"8,77%";2;75;3
;;;;;"14 - 15 heures";"15,02%";3;85,67;6
;;;;;"15 - 16 heures";"27,92%";7;68,26;12
;;;;;"16 - 17 heures";"27,29%";7;66,71;13
;;;;;"17 - 18 heures";"1,43%";2;12,25;2
;;;;;"18 - 19 heures";"3,56%";1;61;2
;;"11 Octobre 2016";"11/10/2016";"Total";;"100,00%";"--";"--";33
;;;;"Mardi";"Total";"100,00%";"--";"--";33
;;;;;"11 - 12 heures";"9,11%";2;61;3
;;;;;"12 - 13 heures";"18,14%";4;60,75;7
;;;;;"13 - 14 heures";"10,78%";3;48,13;4
;;;;;"14 - 15 heures";"12,84%";3;57,33;4
;;;;;"15 - 16 heures";"14,78%";2;99;2
;;;;;"16 - 17 heures";"12,35%";3;55,17;4
;;;;;"18 - 19 heures";"19,17%";5;51,36;7
;;;;;"20 - 21 heures";"2,84%";1;38;2
;;"12 Octobre 2016";"12/10/2016";"Total";;"100,00%";"--";"--";50
;;;;"Mercredi";"Total";"100,00%";"--";"--";50
;;;;;"9 - 10 heures";"3,85%";1;68;1
;;;;;"10 - 11 heures";"9,40%";1;166;3
;;;;;"11 - 12 heures";"10,53%";3;62;4
;;;;;"12 - 13 heures";"9,63%";1;170;2
;;;;;"13 - 14 heures";"7,56%";2;66,75;4
;;;;;"14 - 15 heures";"2,10%";1;37;2
;;;;;"15 - 16 heures";"27,80%";7;70,13;18
;;;;;"16 - 17 heures";"19,31%";6;56,82;11
;;;;;"17 - 18 heures";"9,09%";2;80,25;4
