"Marché";"Marché Label";"Jour";"Jour dd/mm/yyyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"10 - 11 heures";"2,56%";1;60,5;1
;;;;;"11 - 12 heures";"16,98%";7;57,31;10
;;;;;"12 - 13 heures";"4,87%";2;57,5;3
;;;;;"13 - 14 heures";"4,13%";4;24,38;7
;;;;;"14 - 15 heures";"6,78%";3;53,43;7
;;;;;"15 - 16 heures";"4,40%";4;26;6
;;;;;"16 - 17 heures";"2,37%";1;56;1
;;;;;"17 - 18 heures";"10,66%";6;42;8
;;;;;"18 - 19 heures";"40,19%";8;118,74;17
;;;;;"19 - 20 heures";"6,03%";3;47,5;5
;;;;;"20 - 21 heures";"1,04%";1;24,5;1
;;"05 Février 2016";"05/02/2016";"Total";;"100,00%";"--";"--";60
;;;;"Vendredi";"Total";"100,00%";"--";"--";60
;;;;;"10 - 11 heures";"16,08%";3;130;9
;;;;;"11 - 12 heures";"12,72%";3;102,8;4
;;;;;"12 - 13 heures";"3,45%";2;41,78;2
;;;;;"13 - 14 heures";"12,94%";6;52,32;6
;;;;;"14 - 15 heures";"11,71%";4;71;7
;;;;;"15 - 16 heures";"12,88%";4;78,1;6
;;;;;"16 - 17 heures";"10,65%";5;51,64;13
;;;;;"17 - 18 heures";"0,62%";1;15;1
;;;;;"18 - 19 heures";"9,92%";4;60,13;6
;;;;;"19 - 20 heures";"9,05%";3;73,17;6
;;"06 Février 2016";"06/02/2016";"Total";;"100,00%";"--";"--";97
;;;;"Samedi";"Total";"100,00%";"--";"--";97
;;;;;"9 - 10 heures";"1,41%";2;26,75;2
;;;;;"10 - 11 heures";"0,80%";2;15,25;3
;;;;;"11 - 12 heures";"4,78%";3;60,67;3
;;;;;"12 - 13 heures";"13,47%";6;85,38;11
;;;;;"13 - 14 heures";"5,14%";3;65,13;4
;;;;;"14 - 15 heures";"9,48%";7;51,51;9
;;;;;"15 - 16 heures";"19,45%";9;82,22;17
;;;;;"16 - 17 heures";"25,90%";18;54,73;27
;;;;;"17 - 18 heures";"5,63%";6;35,67;7
;;;;;"18 - 19 heures";"12,19%";10;46,39;13
;;;;;"19 - 20 heures";"1,76%";1;67;1
;;"08 Février 2016";"08/02/2016";"Total";;"100,00%";"--";"--";37
;;;;"Lundi";"Total";"100,00%";"--";"--";37
;;;;;"10 - 11 heures";"7,26%";2;57,25;2
;;;;;"11 - 12 heures";"1,68%";2;13,25;2
;;;;;"12 - 13 heures";"11,38%";3;59,8;4
;;;;;"13 - 14 heures";"16,64%";2;131,25;3
;;;;;"14 - 15 heures";"1,24%";1;19,5;1
;;;;;"15 - 16 heures";"6,65%";3;34,97;3
;;;;;"16 - 17 heures";"19,21%";4;75,75;6
;;;;;"17 - 18 heures";"10,26%";2;80,9;8
;;;;;"18 - 19 heures";"13,40%";1;211,4;3
;;;;;"19 - 20 heures";"12,28%";4;48,4;5
;;"09 Février 2016";"09/02/2016";"Total";;"100,00%";"--";"--";43
;;;;"Mardi";"Total";"100,00%";"--";"--";43
;;;;;"11 - 12 heures";"13,55%";3;77,93;5
;;;;;"12 - 13 heures";"6,80%";4;29,33;6
;;;;;"13 - 14 heures";"11,80%";3;67,83;5
;;;;;"14 - 15 heures";"9,94%";3;57,17;3
;;;;;"15 - 16 heures";"24,03%";6;69,08;7
;;;;;"16 - 17 heures";"19,12%";5;65,98;7
;;;;;"17 - 18 heures";"9,71%";4;41,88;5
;;;;;"18 - 19 heures";"3,39%";3;19,5;4
;;;;;"20 - 21 heures";"1,65%";1;28,5;1
;;"10 Février 2016";"10/02/2016";"Total";;"100,00%";"--";"--";374
;;;;"Mercredi";"Total";"100,00%";"--";"--";374
;;;;;"9 - 10 heures";"0,28%";1;54;2
;;;;;"10 - 11 heures";"2,93%";7;81,57;12
;;;;;"11 - 12 heures";"9,74%";18;105,61;36
;;;;;"12 - 13 heures";"6,97%";16;85,04;29
;;;;;"13 - 14 heures";"6,37%";13;95,61;23
;;;;;"14 - 15 heures";"12,22%";21;113,58;44
;;;;;"15 - 16 heures";"15,05%";35;83,96;62
;;;;;"16 - 17 heures";"15,54%";25;121,3;55
;;;;;"17 - 18 heures";"12,25%";25;95,68;46
;;;;;"18 - 19 heures";"10,16%";20;99,14;31
;;;;;"19 - 20 heures";"6,76%";11;120,04;28
;;;;;"20 - 21 heures";"1,73%";2;169,3;6
;;"11 Février 2016";"11/02/2016";"Total";;"100,00%";"--";"--";481
;;;;"Jeudi";"Total";"100,00%";"--";"--";481
