"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"9 - 10 heures";"0,97%";3;72,83;3
;;;;;"10 - 11 heures";"2,76%";7;88,86;11
;;;;;"11 - 12 heures";"7,66%";21;82,16;39
;;;;;"12 - 13 heures";"10,82%";20;121,87;37
;;;;;"13 - 14 heures";"10,87%";22;111,38;41
;;;;;"14 - 15 heures";"5,87%";15;88,2;26
;;;;;"15 - 16 heures";"14,96%";23;146,57;60
;;;;;"16 - 17 heures";"11,65%";25;105,02;44
;;;;;"17 - 18 heures";"9,91%";34;65,71;55
;;;;;"18 - 19 heures";"14,66%";32;103,23;64
;;;;;"19 - 20 heures";"9,41%";19;111,61;46
;;;;;"20 - 21 heures";"0,46%";1;104;2
;;"14 Février 2015";"14/02/2015";"Total";;"100,00%";"--";"--";454
;;;;"Samedi";"Total";"100,00%";"--";"--";454
;;;;;"9 - 10 heures";"0,99%";5;46,6;5
;;;;;"10 - 11 heures";"5,09%";14;85,81;27
;;;;;"11 - 12 heures";"7,95%";21;89,32;42
;;;;;"12 - 13 heures";"8,05%";20;94,91;40
;;;;;"13 - 14 heures";"7,59%";17;105,27;41
;;;;;"14 - 15 heures";"6,04%";19;75,04;31
;;;;;"15 - 16 heures";"16,71%";29;135,91;58
;;;;;"16 - 17 heures";"16,11%";32;118,77;65
;;;;;"17 - 18 heures";"12,71%";35;85,64;57
;;;;;"18 - 19 heures";"13,17%";39;79,68;65
;;;;;"19 - 20 heures";"5,60%";17;77,65;23
;;"16 Février 2015";"16/02/2015";"Total";;"100,00%";"--";"--";66
;;;;"Lundi";"Total";"100,00%";"--";"--";66
;;;;;"10 - 11 heures";"4,95%";3;34,83;4
;;;;;"11 - 12 heures";"5,12%";2;54;5
;;;;;"12 - 13 heures";"10,10%";6;35,5;7
;;;;;"13 - 14 heures";"3,46%";2;36,5;2
;;;;;"14 - 15 heures";"11,26%";6;39,58;9
;;;;;"15 - 16 heures";"13,79%";5;58,2;6
;;;;;"16 - 17 heures";"26,61%";9;62,38;15
;;;;;"17 - 18 heures";"6,36%";5;26,84;7
;;;;;"18 - 19 heures";"13,98%";6;49,15;9
;;;;;"19 - 20 heures";"3,51%";1;74;1
;;;;;"20 - 21 heures";"0,86%";1;18,1;1
;;"17 Février 2015";"17/02/2015";"Total";;"100,00%";"--";"--";63
;;;;"Mardi";"Total";"100,00%";"--";"--";63
;;;;;"9 - 10 heures";"1,52%";1;43,5;1
;;;;;"11 - 12 heures";"15,04%";5;86,28;12
;;;;;"12 - 13 heures";"1,48%";2;21,25;2
;;;;;"13 - 14 heures";"8,26%";5;47,4;7
;;;;;"14 - 15 heures";"10,70%";6;51,17;7
;;;;;"15 - 16 heures";"25,03%";7;102,57;7
;;;;;"16 - 17 heures";"14,71%";7;60,27;10
;;;;;"17 - 18 heures";"9,08%";4;65,13;10
;;;;;"18 - 19 heures";"2,42%";2;34,75;2
;;;;;"19 - 20 heures";"11,75%";4;84,25;5
;;"18 Février 2015";"18/02/2015";"Total";;"100,00%";"--";"--";46
;;;;"Mercredi";"Total";"100,00%";"--";"--";46
;;;;;"10 - 11 heures";"12,12%";1;245,5;3
;;;;;"11 - 12 heures";"12,15%";2;123;5
;;;;;"12 - 13 heures";"5,10%";2;51,6;2
;;;;;"13 - 14 heures";"6,32%";3;42,67;4
;;;;;"14 - 15 heures";"10,57%";5;42,82;6
;;;;;"15 - 16 heures";"27,68%";9;62,28;15
;;;;;"16 - 17 heures";"9,03%";3;60,93;4
;;;;;"17 - 18 heures";"6,09%";3;41,13;3
;;;;;"18 - 19 heures";"7,16%";3;48,33;3
;;;;;"19 - 20 heures";"3,78%";1;76,5;1
;;"19 Février 2015";"19/02/2015";"Total";;"100,00%";"--";"--";58
;;;;"Jeudi";"Total";"100,00%";"--";"--";58
;;;;;"10 - 11 heures";"8,73%";2;76,5;3
;;;;;"11 - 12 heures";"12,53%";2;109,75;5
;;;;;"12 - 13 heures";"7,70%";3;45;4
;;;;;"13 - 14 heures";"6,73%";2;59;2
;;;;;"14 - 15 heures";"12,44%";3;72,63;9
;;;;;"15 - 16 heures";"10,35%";7;25,91;10
;;;;;"16 - 17 heures";"6,93%";5;24,3;8
;;;;;"17 - 18 heures";"25,25%";6;73,73;11
;;;;;"18 - 19 heures";"8,19%";4;35,9;5
;;;;;"19 - 20 heures";"1,14%";1;20;1
;;"20 Février 2015";"20/02/2015";"Total";;"100,00%";"--";"--";57
;;;;"Vendredi";"Total";"100,00%";"--";"--";57
;;;;;"10 - 11 heures";"3,42%";3;22,97;3
;;;;;"11 - 12 heures";"7,68%";2;77,25;5
;;;;;"12 - 13 heures";"15,98%";2;160,75;7
;;;;;"13 - 14 heures";"12,64%";4;63,6;6
;;;;;"14 - 15 heures";"1,49%";3;10;5
;;;;;"15 - 16 heures";"9,22%";5;37,1;5
;;;;;"16 - 17 heures";"9,04%";5;36,38;5
;;;;;"17 - 18 heures";"19,78%";8;49,75;10
;;;;;"18 - 19 heures";"12,83%";5;51,64;9
;;;;;"19 - 20 heures";"7,90%";2;79,5;2
;;"21 Février 2015";"21/02/2015";"Total";;"100,00%";"--";"--";130
;;;;"Samedi";"Total";"100,00%";"--";"--";130
;;;;;"10 - 11 heures";"1,88%";2;44;2
;;;;;"11 - 12 heures";"1,72%";4;20,13;4
;;;;;"12 - 13 heures";"2,66%";4;31,13;5
;;;;;"13 - 14 heures";"5,77%";4;67,5;4
;;;;;"14 - 15 heures";"3,11%";4;36,38;5
;;;;;"15 - 16 heures";"32,92%";15;102,69;41
;;;;;"16 - 17 heures";"7,87%";9;40,94;10
;;;;;"17 - 18 heures";"15,82%";14;52,89;18
;;;;;"18 - 19 heures";"22,80%";19;56,15;34
;;;;;"19 - 20 heures";"5,45%";2;127,5;7
;;"23 Février 2015";"23/02/2015";"Total";;"100,00%";"--";"--";87
;;;;"Lundi";"Total";"100,00%";"--";"--";87
;;;;;"9 - 10 heures";"0,95%";1;40,5;1
;;;;;"10 - 11 heures";"6,39%";4;68,25;6
;;;;;"11 - 12 heures";"39,53%";3;563,23;18
;;;;;"12 - 13 heures";"3,23%";5;27,6;7
;;;;;"13 - 14 heures";"8,29%";6;59,08;7
;;;;;"14 - 15 heures";"7,00%";8;37,38;10
;;;;;"15 - 16 heures";"14,08%";5;120,36;12
;;;;;"16 - 17 heures";"4,98%";5;42,6;8
;;;;;"17 - 18 heures";"4,16%";1;178;4
;;;;;"18 - 19 heures";"5,89%";3;83,87;8
;;;;;"19 - 20 heures";"5,50%";5;47;6
;;"24 Février 2015";"24/02/2015";"Total";;"100,00%";"--";"--";71
;;;;"Mardi";"Total";"100,00%";"--";"--";71
;;;;;"10 - 11 heures";"1,75%";1;51;1
;;;;;"11 - 12 heures";"10,87%";6;52,83;8
;;;;;"12 - 13 heures";"13,58%";5;79,22;10
;;;;;"13 - 14 heures";"7,50%";6;36,47;8
;;;;;"14 - 15 heures";"10,37%";3;100,83;6
;;;;;"15 - 16 heures";"7,70%";4;56,13;7
;;;;;"16 - 17 heures";"9,72%";4;70,88;6
;;;;;"17 - 18 heures";"2,96%";3;28,83;3
;;;;;"18 - 19 heures";"23,24%";7;96,84;11
;;;;;"19 - 20 heures";"8,71%";4;63,53;9
;;;;;"20 - 21 heures";"3,62%";2;52,75;2
;;"25 Février 2015";"25/02/2015";"Total";;"100,00%";"--";"--";62
;;;;"Mercredi";"Total";"100,00%";"--";"--";62
;;;;;"9 - 10 heures";"2,06%";1;54;1
;;;;;"10 - 11 heures";"4,65%";2;61;3
;;;;;"11 - 12 heures";"3,17%";2;41,5;2
;;;;;"12 - 13 heures";"14,95%";3;130,63;8
;;;;;"13 - 14 heures";"9,80%";3;85,63;4
;;;;;"14 - 15 heures";"11,92%";4;78,13;8
;;;;;"15 - 16 heures";"16,52%";6;72,17;13
;;;;;"16 - 17 heures";"7,31%";4;47,88;6
;;;;;"17 - 18 heures";"14,99%";7;56,11;8
;;;;;"18 - 19 heures";"2,86%";1;75;2
;;;;;"19 - 20 heures";"11,77%";4;77,13;7
;;"26 Février 2015";"26/02/2015";"Total";;"100,00%";"--";"--";58
;;;;"Jeudi";"Total";"100,00%";"--";"--";58
;;;;;"9 - 10 heures";"1,51%";1;41,5;1
;;;;;"10 - 11 heures";"1,95%";2;26,75;2
;;;;;"11 - 12 heures";"9,08%";4;62,38;5
;;;;;"12 - 13 heures";"1,58%";2;21,75;2
;;;;;"13 - 14 heures";"16,74%";6;76,67;12
;;;;;"14 - 15 heures";"6,60%";4;45,38;4
;;;;;"15 - 16 heures";"13,68%";7;53,71;7
;;;;;"16 - 17 heures";"25,32%";5;139,2;12
;;;;;"17 - 18 heures";"5,16%";3;47,3;4
;;;;;"19 - 20 heures";"8,51%";3;78;5
;;;;;"20 - 21 heures";"9,86%";2;135,5;4
;;"27 Février 2015";"27/02/2015";"Total";;"100,00%";"--";"--";77
;;;;"Vendredi";"Total";"100,00%";"--";"--";77
;;;;;"9 - 10 heures";"3,82%";3;34,97;3
;;;;;"10 - 11 heures";"3,39%";4;23,25;4
;;;;;"11 - 12 heures";"4,34%";2;59,5;2
;;;;;"12 - 13 heures";"7,93%";3;72,5;5
;;;;;"13 - 14 heures";"8,82%";5;48,4;7
;;;;;"14 - 15 heures";"8,49%";3;77,63;7
;;;;;"15 - 16 heures";"28,45%";14;55,75;23
;;;;;"16 - 17 heures";"12,47%";6;57;7
;;;;;"17 - 18 heures";"10,97%";6;50,15;11
;;;;;"18 - 19 heures";"10,48%";4;71,88;7
;;;;;"19 - 20 heures";"0,84%";1;23;1
;;"28 Février 2015";"28/02/2015";"Total";;"100,00%";"--";"--";104
;;;;"Samedi";"Total";"100,00%";"--";"--";104
;;;;;"10 - 11 heures";"3,27%";3;45,33;6
;;;;;"11 - 12 heures";"11,81%";10;49,21;12
;;;;;"12 - 13 heures";"2,09%";1;87;1
;;;;;"13 - 14 heures";"11,30%";5;94,1;7
;;;;;"14 - 15 heures";"9,95%";9;46,06;11
;;;;;"15 - 16 heures";"12,13%";10;50,53;12
;;;;;"16 - 17 heures";"13,96%";12;48,45;13
;;;;;"17 - 18 heures";"17,70%";11;67,03;17
;;;;;"18 - 19 heures";"13,88%";13;44,46;17
;;;;;"19 - 20 heures";"3,91%";5;32,6;8
;;"02 Mars 2015";"02/03/2015";"Total";;"100,00%";"--";"--";47
;;;;"Lundi";"Total";"100,00%";"--";"--";47
;;;;;"9 - 10 heures";"-3,11%";-1;59;-1
;;;;;"10 - 11 heures";"0,61%";1;11,5;1
;;;;;"11 - 12 heures";"9,07%";3;57,47;3
;;;;;"12 - 13 heures";"7,58%";3;48;3
;;;;;"13 - 14 heures";"30,54%";5;116,06;9
;;;;;"14 - 15 heures";"9,52%";4;45,23;5
;;;;;"15 - 16 heures";"11,32%";3;71,67;9
;;;;;"16 - 17 heures";"4,32%";0;;1
;;;;;"17 - 18 heures";"11,53%";4;54,75;5
;;;;;"18 - 19 heures";"4,34%";3;27,5;3
;;;;;"19 - 20 heures";"9,02%";5;34,28;8
;;;;;"20 - 21 heures";"5,26%";1;100;1
;;"03 Mars 2015";"03/03/2015";"Total";;"100,00%";"--";"--";54
;;;;"Mardi";"Total";"100,00%";"--";"--";54
;;;;;"10 - 11 heures";"8,20%";3;58,17;3
;;;;;"11 - 12 heures";"3,76%";3;26,69;3
;;;;;"12 - 13 heures";"4,67%";2;49,65;6
;;;;;"13 - 14 heures";"2,97%";2;31,55;2
;;;;;"14 - 15 heures";"21,43%";5;91,16;9
;;;;;"15 - 16 heures";"7,01%";2;74,5;4
;;;;;"16 - 17 heures";"22,43%";7;68,14;14
;;;;;"17 - 18 heures";"8,85%";3;62,77;6
;;;;;"18 - 19 heures";"18,83%";4;100,11;6
;;;;;"19 - 20 heures";"1,86%";1;39,5;1
;;"04 Mars 2015";"04/03/2015";"Total";;"100,00%";"--";"--";131
;;;;"Mercredi";"Total";"100,00%";"--";"--";131
;;;;;"9 - 10 heures";"5,32%";1;255;7
;;;;;"10 - 11 heures";"4,27%";5;40,92;6
;;;;;"11 - 12 heures";"5,76%";7;39,42;9
;;;;;"12 - 13 heures";"4,16%";5;39,89;6
;;;;;"13 - 14 heures";"8,02%";7;54,9;15
;;;;;"14 - 15 heures";"7,60%";7;52;10
;;;;;"15 - 16 heures";"7,76%";5;74,39;15
;;;;;"16 - 17 heures";"26,44%";14;90,45;25
;;;;;"17 - 18 heures";"13,06%";8;78,2;13
;;;;;"18 - 19 heures";"11,55%";10;55,35;18
;;;;;"19 - 20 heures";"6,04%";6;48,24;7
;;"05 Mars 2015";"05/03/2015";"Total";;"100,00%";"--";"--";134
;;;;"Jeudi";"Total";"100,00%";"--";"--";134
;;;;;"10 - 11 heures";"4,23%";3;77,2;7
;;;;;"11 - 12 heures";"4,17%";2;114,15;4
;;;;;"12 - 13 heures";"13,46%";9;81,97;15
;;;;;"13 - 14 heures";"1,95%";3;35,63;4
;;;;;"14 - 15 heures";"13,65%";10;74,82;21
;;;;;"15 - 16 heures";"16,46%";13;69,4;22
;;;;;"16 - 17 heures";"21,22%";12;96,92;17
;;;;;"17 - 18 heures";"7,63%";8;52,29;12
;;;;;"18 - 19 heures";"5,62%";6;51,35;11
;;;;;"19 - 20 heures";"10,73%";7;84,04;17
;;;;;"20 - 21 heures";"0,87%";1;47,5;4
;;"06 Mars 2015";"06/03/2015";"Total";;"100,00%";"--";"--";154
;;;;"Vendredi";"Total";"100,00%";"--";"--";154
;;;;;"9 - 10 heures";"1,18%";1;60,5;1
;;;;;"10 - 11 heures";"0,43%";1;22;1
;;;;;"11 - 12 heures";"7,20%";2;184,3;6
;;;;;"12 - 13 heures";"8,23%";6;70,21;12
;;;;;"13 - 14 heures";"12,04%";10;61,68;24
;;;;;"14 - 15 heures";"10,21%";9;58,12;21
;;;;;"15 - 16 heures";"9,64%";10;49,36;20
;;;;;"16 - 17 heures";"11,68%";10;59,82;15
;;;;;"17 - 18 heures";"14,05%";8;89,97;17
;;;;;"18 - 19 heures";"14,27%";8;91,38;21
;;;;;"19 - 20 heures";"10,43%";6;89,02;13
;;;;;"20 - 21 heures";"0,63%";1;32,4;3
;;"07 Mars 2015";"07/03/2015";"Total";;"100,00%";"--";"--";229
;;;;"Samedi";"Total";"100,00%";"--";"--";229
;;;;;"10 - 11 heures";"1,54%";4;33,91;7
;;;;;"11 - 12 heures";"6,71%";8;73,87;14
;;;;;"12 - 13 heures";"10,29%";11;82,3;22
;;;;;"13 - 14 heures";"9,32%";9;91,17;24
;;;;;"14 - 15 heures";"10,91%";13;73,87;26
;;;;;"15 - 16 heures";"9,30%";14;58,47;29
;;;;;"16 - 17 heures";"21,27%";25;74,89;41
;;;;;"17 - 18 heures";"12,44%";14;78,2;21
;;;;;"18 - 19 heures";"8,78%";13;59,43;22
;;;;;"19 - 20 heures";"9,44%";10;83,07;23
;;"09 Mars 2015";"09/03/2015";"Total";;"100,00%";"--";"--";90
;;;;"Lundi";"Total";"100,00%";"--";"--";90
;;;;;"9 - 10 heures";"4,45%";1;158,6;2
;;;;;"10 - 11 heures";"11,16%";5;79,47;6
;;;;;"11 - 12 heures";"10,97%";5;78,12;8
;;;;;"12 - 13 heures";"1,72%";3;20,45;5
;;;;;"13 - 14 heures";"1,61%";4;14,32;7
;;;;;"14 - 15 heures";"10,27%";7;52,25;10
;;;;;"15 - 16 heures";"17,10%";8;76,09;15
;;;;;"16 - 17 heures";"11,25%";6;66,77;13
;;;;;"17 - 18 heures";"23,14%";10;82,4;15
;;;;;"18 - 19 heures";"4,35%";4;38,73;6
;;;;;"19 - 20 heures";"1,56%";2;27,75;2
;;;;;"20 - 21 heures";"2,42%";1;86;1
;;"10 Mars 2015";"10/03/2015";"Total";;"100,00%";"--";"--";88
;;;;"Mardi";"Total";"100,00%";"--";"--";88
;;;;;"10 - 11 heures";"3,01%";2;47,95;3
;;;;;"11 - 12 heures";"10,09%";3;107,17;6
;;;;;"12 - 13 heures";"3,07%";3;32,6;4
;;;;;"13 - 14 heures";"23,69%";6;125,73;11
;;;;;"14 - 15 heures";"11,62%";3;123,33;7
;;;;;"15 - 16 heures";"9,55%";6;50,67;14
;;;;;"16 - 17 heures";"17,96%";9;63,56;20
;;;;;"17 - 18 heures";"1,64%";4;13,04;5
;;;;;"18 - 19 heures";"8,02%";4;63,83;5
;;;;;"19 - 20 heures";"7,53%";5;47,96;10
;;;;;"20 - 21 heures";"3,83%";2;61;3
;;"11 Mars 2015";"11/03/2015";"Total";;"100,00%";"--";"--";80
;;;;"Mercredi";"Total";"100,00%";"--";"--";80
;;;;;"9 - 10 heures";"3,26%";2;52,75;2
;;;;;"10 - 11 heures";"1,12%";2;18,08;3
;;;;;"11 - 12 heures";"4,49%";4;36,31;5
;;;;;"12 - 13 heures";"10,05%";4;81,3;5
;;;;;"13 - 14 heures";"7,78%";4;62,93;7
;;;;;"14 - 15 heures";"7,40%";3;79,8;9
;;;;;"15 - 16 heures";"31,87%";10;103,11;20
;;;;;"16 - 17 heures";"11,39%";10;36,86;12
;;;;;"17 - 18 heures";"6,27%";4;50,75;9
;;;;;"18 - 19 heures";"11,94%";4;96,58;5
;;;;;"19 - 20 heures";"3,52%";2;57;2
;;;;;"20 - 21 heures";"0,90%";1;29;1
;;"12 Mars 2015";"12/03/2015";"Total";;"100,00%";"--";"--";103
;;;;"Jeudi";"Total";"100,00%";"--";"--";103
;;;;;"9 - 10 heures";"0,71%";1;28;1
;;;;;"10 - 11 heures";"2,39%";2;47,25;2
;;;;;"11 - 12 heures";"2,15%";3;28,35;4
;;;;;"12 - 13 heures";"19,49%";15;51,42;21
;;;;;"13 - 14 heures";"9,57%";7;54,1;15
;;;;;"14 - 15 heures";"2,79%";3;36,78;4
;;;;;"15 - 16 heures";"18,30%";12;60,37;18
;;;;;"16 - 17 heures";"11,37%";7;64,31;10
;;;;;"17 - 18 heures";"12,92%";6;85,26;10
;;;;;"18 - 19 heures";"11,35%";7;64,2;9
;;;;;"19 - 20 heures";"8,96%";4;88,69;9
;;"13 Mars 2015";"13/03/2015";"Total";;"100,00%";"--";"--";127
;;;;"Vendredi";"Total";"100,00%";"--";"--";127
;;;;;"9 - 10 heures";"1,12%";1;47;1
;;;;;"10 - 11 heures";"3,87%";2;81,25;4
;;;;;"11 - 12 heures";"3,02%";3;42,2;5
;;;;;"12 - 13 heures";"3,17%";3;44,4;3
;;;;;"13 - 14 heures";"16,13%";7;96,67;22
;;;;;"14 - 15 heures";"16,84%";11;64,23;16
;;;;;"15 - 16 heures";"14,93%";12;52,22;21
;;;;;"16 - 17 heures";"13,20%";11;50,37;18
;;;;;"17 - 18 heures";"16,27%";9;75,84;20
;;;;;"18 - 19 heures";"1,56%";2;32,75;2
;;;;;"19 - 20 heures";"9,29%";9;43,31;12
;;;;;"20 - 21 heures";"0,60%";1;25,25;3
;;"14 Mars 2015";"14/03/2015";"Total";;"100,00%";"--";"--";231
;;;;"Samedi";"Total";"100,00%";"--";"--";231
;;;;;"9 - 10 heures";"0,14%";1;12,4;1
;;;;;"10 - 11 heures";"8,56%";9;83,56;18
;;;;;"11 - 12 heures";"5,92%";10;51,98;19
;;;;;"12 - 13 heures";"2,43%";6;35,51;9
;;;;;"13 - 14 heures";"7,65%";9;74,62;21
;;;;;"14 - 15 heures";"6,41%";9;62,52;13
;;;;;"15 - 16 heures";"19,41%";16;106,52;36
;;;;;"16 - 17 heures";"11,87%";16;65,15;32
;;;;;"17 - 18 heures";"10,59%";15;62,02;27
;;;;;"18 - 19 heures";"19,08%";25;67,01;36
;;;;;"19 - 20 heures";"7,40%";11;59,11;18
;;;;;"20 - 21 heures";"0,55%";1;48;1
;;"16 Mars 2015";"16/03/2015";"Total";;"100,00%";"--";"--";52
;;;;"Lundi";"Total";"100,00%";"--";"--";52
;;;;;"10 - 11 heures";"6,86%";2;55,55;3
;;;;;"11 - 12 heures";"8,71%";4;35,26;5
;;;;;"12 - 13 heures";"0,78%";1;12,6;3
;;;;;"13 - 14 heures";"14,72%";4;59,61;7
;;;;;"14 - 15 heures";"9,75%";3;52,67;3
;;;;;"15 - 16 heures";"36,87%";11;54,29;13
;;;;;"16 - 17 heures";"2,28%";2;18,5;2
;;;;;"17 - 18 heures";"7,10%";5;23,01;7
;;;;;"18 - 19 heures";"5,40%";4;21,85;5
;;;;;"19 - 20 heures";"7,53%";2;60,97;4
;;"17 Mars 2015";"17/03/2015";"Total";;"100,00%";"--";"--";84
;;;;"Mardi";"Total";"100,00%";"--";"--";84
;;;;;"9 - 10 heures";"2,18%";1;59,5;1
;;;;;"11 - 12 heures";"9,55%";7;37,23;8
;;;;;"12 - 13 heures";"4,18%";3;38,08;6
;;;;;"13 - 14 heures";"4,06%";2;55,48;2
;;;;;"14 - 15 heures";"7,45%";3;67,77;6
;;;;;"15 - 16 heures";"13,12%";5;71,65;14
;;;;;"16 - 17 heures";"22,52%";12;51,22;24
;;;;;"17 - 18 heures";"10,71%";2;146,25;3
;;;;;"18 - 19 heures";"21,16%";6;96,29;17
;;;;;"19 - 20 heures";"5,06%";2;69,1;3
;;"18 Mars 2015";"18/03/2015";"Total";;"100,00%";"--";"--";98
;;;;"Mercredi";"Total";"100,00%";"--";"--";98
;;;;;"10 - 11 heures";"8,88%";3;102,33;5
;;;;;"11 - 12 heures";"5,84%";4;50,5;4
;;;;;"12 - 13 heures";"10,90%";5;75,4;10
;;;;;"13 - 14 heures";"10,42%";8;45,06;13
;;;;;"14 - 15 heures";"9,17%";5;63,46;11
;;;;;"15 - 16 heures";"6,21%";4;53,74;5
;;;;;"16 - 17 heures";"21,92%";7;108,31;15
;;;;;"17 - 18 heures";"10,24%";7;50,57;13
;;;;;"18 - 19 heures";"6,97%";6;40,17;10
;;;;;"19 - 20 heures";"9,45%";8;40,84;12
;;"19 Mars 2015";"19/03/2015";"Total";;"100,00%";"--";"--";131
;;;;"Jeudi";"Total";"100,00%";"--";"--";131
;;;;;"9 - 10 heures";"1,60%";1;69;1
;;;;;"10 - 11 heures";"0,83%";1;36;2
;;;;;"11 - 12 heures";"19,75%";8;106,58;15
;;;;;"12 - 13 heures";"5,87%";2;126,69;19
;;;;;"13 - 14 heures";"2,03%";3;29,18;6
;;;;;"14 - 15 heures";"9,31%";8;50,23;23
;;;;;"15 - 16 heures";"13,04%";8;70,36;12
;;;;;"16 - 17 heures";"22,15%";12;79,68;21
;;;;;"17 - 18 heures";"5,79%";3;83,28;9
;;;;;"18 - 19 heures";"11,89%";5;102,64;16
;;;;;"19 - 20 heures";"1,25%";2;26,9;4
;;;;;"20 - 21 heures";"6,51%";1;281;3
;;"20 Mars 2015";"20/03/2015";"Total";;"100,00%";"--";"--";100
;;;;"Vendredi";"Total";"100,00%";"--";"--";100
;;;;;"10 - 11 heures";"5,31%";3;55,13;5
;;;;;"11 - 12 heures";"12,29%";6;63,83;11
;;;;;"12 - 13 heures";"6,43%";5;40,09;6
;;;;;"13 - 14 heures";"7,19%";5;44,79;9
;;;;;"14 - 15 heures";"11,60%";7;51,66;12
;;;;;"15 - 16 heures";"14,81%";7;65,93;13
;;;;;"16 - 17 heures";"22,32%";9;77,32;17
;;;;;"17 - 18 heures";"9,67%";8;37,69;14
;;;;;"18 - 19 heures";"6,48%";5;40,41;8
;;;;;"19 - 20 heures";"3,90%";3;40,54;5
;;"21 Mars 2015";"21/03/2015";"Total";;"100,00%";"--";"--";196
;;;;"Samedi";"Total";"100,00%";"--";"--";196
;;;;;"9 - 10 heures";"1,10%";2;42,94;4
;;;;;"10 - 11 heures";"2,86%";3;74,67;8
;;;;;"11 - 12 heures";"13,80%";12;90,13;19
;;;;;"12 - 13 heures";"5,87%";6;76,67;8
;;;;;"13 - 14 heures";"6,42%";6;83,88;12
;;;;;"14 - 15 heures";"9,29%";13;55,99;24
;;;;;"15 - 16 heures";"18,34%";21;68,42;33
;;;;;"16 - 17 heures";"16,56%";15;86,53;30
;;;;;"17 - 18 heures";"16,21%";20;63,53;35
;;;;;"18 - 19 heures";"5,46%";10;42,8;17
;;;;;"19 - 20 heures";"4,08%";5;63,98;6
;;"23 Mars 2015";"23/03/2015";"Total";;"100,00%";"--";"--";44
;;;;"Lundi";"Total";"100,00%";"--";"--";44
;;;;;"9 - 10 heures";"5,86%";2;51,75;2
;;;;;"10 - 11 heures";"7,41%";3;43,67;3
;;;;;"11 - 12 heures";"20,45%";6;60,23;10
;;;;;"12 - 13 heures";"4,72%";1;83,5;1
;;;;;"13 - 14 heures";"13,41%";1;237;4
;;;;;"14 - 15 heures";"5,35%";3;31,5;3
;;;;;"15 - 16 heures";"20,91%";3;123,17;9
;;;;;"16 - 17 heures";"3,17%";2;28;2
;;;;;"17 - 18 heures";"9,00%";3;53;3
;;;;;"18 - 19 heures";"7,60%";5;26,86;7
;;;;;"19 - 20 heures";"4,87%";1;86;1
;;;;;"20 - 21 heures";"-2,74%";0;;-1
;;"24 Mars 2015";"24/03/2015";"Total";;"100,00%";"--";"--";46
;;;;"Mardi";"Total";"100,00%";"--";"--";46
;;;;;"11 - 12 heures";"3,81%";2;42,75;3
;;;;;"13 - 14 heures";"26,37%";4;147,75;10
;;;;;"14 - 15 heures";"1,63%";2;18,25;2
;;;;;"15 - 16 heures";"12,51%";4;70,08;6
;;;;;"16 - 17 heures";"28,84%";5;129,3;9
;;;;;"17 - 18 heures";"7,92%";4;44,38;6
;;;;;"18 - 19 heures";"8,77%";5;39,3;6
;;;;;"19 - 20 heures";"10,15%";3;75,83;4
;;"25 Mars 2015";"25/03/2015";"Total";;"100,00%";"--";"--";64
;;;;"Mercredi";"Total";"100,00%";"--";"--";64
;;;;;"10 - 11 heures";"2,74%";1;75;1
;;;;;"11 - 12 heures";"3,38%";3;30,83;4
;;;;;"12 - 13 heures";"13,81%";5;75,5;8
;;;;;"13 - 14 heures";"9,74%";4;66,6;11
;;;;;"14 - 15 heures";"24,28%";10;66,38;14
;;;;;"15 - 16 heures";"9,64%";4;65,88;5
;;;;;"16 - 17 heures";"10,38%";4;70,98;4
;;;;;"17 - 18 heures";"8,92%";4;61;7
;;;;;"18 - 19 heures";"8,95%";3;81,6;5
;;;;;"19 - 20 heures";"6,71%";3;61,17;3
;;;;;"20 - 21 heures";"1,43%";2;19,6;2
;;"26 Mars 2015";"26/03/2015";"Total";;"100,00%";"--";"--";66
;;;;"Jeudi";"Total";"100,00%";"--";"--";66
;;;;;"10 - 11 heures";"9,79%";3;100,17;4
;;;;;"11 - 12 heures";"10,14%";4;77,88;7
;;;;;"12 - 13 heures";"2,65%";2;40,75;2
;;;;;"13 - 14 heures";"8,07%";5;49,54;7
;;;;;"14 - 15 heures";"7,59%";4;58,25;6
;;;;;"15 - 16 heures";"22,25%";8;85,43;15
;;;;;"16 - 17 heures";"15,11%";7;66,29;11
;;;;;"17 - 18 heures";"6,22%";3;63,63;3
;;;;;"18 - 19 heures";"6,48%";5;39,78;6
;;;;;"19 - 20 heures";"4,38%";1;134,5;2
;;;;;"20 - 21 heures";"7,33%";3;75;3
;;"27 Mars 2015";"27/03/2015";"Total";;"100,00%";"--";"--";94
;;;;"Vendredi";"Total";"100,00%";"--";"--";94
;;;;;"9 - 10 heures";"0,15%";1;6;1
;;;;;"10 - 11 heures";"1,45%";1;58;1
;;;;;"11 - 12 heures";"3,51%";3;46,67;4
;;;;;"12 - 13 heures";"6,40%";4;63,88;6
;;;;;"13 - 14 heures";"2,05%";4;20,48;5
;;;;;"14 - 15 heures";"31,40%";10;125,25;17
;;;;;"15 - 16 heures";"7,56%";6;50,25;11
;;;;;"16 - 17 heures";"12,86%";9;57;15
;;;;;"17 - 18 heures";"13,27%";7;75,61;11
