"Marché";"Marché label";"Jour";"Jour dd/mm/yyy";"Jour de la semaine";"Heure";"Poids CA (Global)";"Nb tickets";"Panier Moyen";"Qtés vendues"
;;;;;"17 - 18 heures";"7,77%";2;58,5;3
;;;;;"18 - 19 heures";"26,07%";5;78,48;8
;;"04 Février 2015";"04/02/2015";"Total";;"100,00%";"--";"--";58
;;;;"Mercredi";"Total";"100,00%";"--";"--";58
;;;;;"10 - 11 heures";"6,23%";4;31,25;5
;;;;;"11 - 12 heures";"4,46%";1;89,5;2
;;;;;"12 - 13 heures";"4,09%";2;41,05;4
;;;;;"13 - 14 heures";"11,99%";2;120,25;3
;;;;;"14 - 15 heures";"2,44%";2;24,45;3
;;;;;"15 - 16 heures";"14,74%";7;42,25;11
;;;;;"16 - 17 heures";"21,41%";7;61,38;13
;;;;;"17 - 18 heures";"5,04%";3;33,7;3
;;;;;"18 - 19 heures";"29,60%";9;66;14
;;"05 Février 2015";"05/02/2015";"Total";;"100,00%";"--";"--";55
;;;;"Jeudi";"Total";"100,00%";"--";"--";55
;;;;;"10 - 11 heures";"3,47%";2;34;3
;;;;;"11 - 12 heures";"19,44%";5;76,1;9
;;;;;"12 - 13 heures";"3,74%";2;36,6;2
;;;;;"13 - 14 heures";"11,65%";4;57,03;5
;;;;;"14 - 15 heures";"2,45%";2;24;2
;;;;;"15 - 16 heures";"9,43%";7;26,37;8
;;;;;"16 - 17 heures";"11,75%";2;115;5
;;;;;"17 - 18 heures";"17,73%";4;86,75;7
;;;;;"18 - 19 heures";"13,21%";7;36,93;10
;;;;;"19 - 20 heures";"3,45%";3;22,5;3
;;;;;"20 - 21 heures";"3,68%";1;72,1;1
;;"06 Février 2015";"06/02/2015";"Total";;"100,00%";"--";"--";60
;;;;"Vendredi";"Total";"100,00%";"--";"--";60
;;;;;"10 - 11 heures";"7,34%";2;89,25;3
;;;;;"11 - 12 heures";"4,01%";1;97,4;3
;;;;;"12 - 13 heures";"8,08%";4;49,1;5
;;;;;"13 - 14 heures";"9,17%";4;55,75;6
;;;;;"14 - 15 heures";"11,01%";6;44,58;9
;;;;;"15 - 16 heures";"16,11%";6;65,25;8
;;;;;"16 - 17 heures";"7,32%";4;44,48;6
;;;;;"17 - 18 heures";"25,55%";9;69;13
;;;;;"18 - 19 heures";"8,52%";5;41,4;6
;;;;;"19 - 20 heures";"2,90%";1;70,5;1
;;"07 Février 2015";"07/02/2015";"Total";;"100,00%";"--";"--";132
;;;;"Samedi";"Total";"100,00%";"--";"--";132
;;;;;"10 - 11 heures";"2,80%";4;37,98;4
;;;;;"11 - 12 heures";"1,20%";1;65;1
;;;;;"12 - 13 heures";"10,21%";7;79,07;9
;;;;;"13 - 14 heures";"7,30%";6;65,88;12
;;;;;"14 - 15 heures";"10,01%";7;77,5;13
;;;;;"15 - 16 heures";"18,37%";12;82,96;20
;;;;;"16 - 17 heures";"13,48%";12;60,86;22
;;;;;"17 - 18 heures";"13,17%";12;59,46;19
;;;;;"18 - 19 heures";"13,34%";9;80,34;16
;;;;;"19 - 20 heures";"10,11%";10;54,79;16
;;"09 Février 2015";"09/02/2015";"Total";;"100,00%";"--";"--";70
;;;;"Lundi";"Total";"100,00%";"--";"--";70
;;;;;"10 - 11 heures";"3,41%";1;93;1
;;;;;"11 - 12 heures";"11,75%";5;64,02;6
;;;;;"12 - 13 heures";"2,29%";1;62,44;1
;;;;;"13 - 14 heures";"14,73%";11;36,49;14
;;;;;"14 - 15 heures";"7,74%";4;52,73;6
;;;;;"15 - 16 heures";"9,93%";8;33,84;10
;;;;;"16 - 17 heures";"13,56%";8;46,19;11
;;;;;"17 - 18 heures";"12,75%";7;49,63;7
;;;;;"18 - 19 heures";"17,41%";8;59,31;10
;;;;;"19 - 20 heures";"6,42%";3;58,33;4
;;"10 Février 2015";"10/02/2015";"Total";;"100,00%";"--";"--";87
;;;;"Mardi";"Total";"100,00%";"--";"--";87
;;;;;"11 - 12 heures";"0,78%";1;30,5;1
;;;;;"12 - 13 heures";"8,17%";7;45,45;10
;;;;;"13 - 14 heures";"1,30%";2;25,25;4
;;;;;"14 - 15 heures";"5,37%";3;69,67;6
;;;;;"15 - 16 heures";"3,57%";7;19,85;8
;;;;;"16 - 17 heures";"15,39%";9;66,59;12
;;;;;"17 - 18 heures";"6,53%";4;63,63;6
;;;;;"18 - 19 heures";"22,17%";8;107,94;18
;;;;;"19 - 20 heures";"36,73%";9;158,95;22
;;"11 Février 2015";"11/02/2015";"Total";;"100,00%";"--";"--";380
;;;;"Mercredi";"Total";"100,00%";"--";"--";380
;;;;;"9 - 10 heures";"0,00%";0;;0
;;;;;"10 - 11 heures";"1,54%";4;72,13;5
;;;;;"11 - 12 heures";"14,19%";25;106,44;51
;;;;;"12 - 13 heures";"12,33%";18;128,47;51
;;;;;"13 - 14 heures";"11,21%";20;105,06;50
;;;;;"14 - 15 heures";"5,82%";15;72,7;23
;;;;;"15 - 16 heures";"15,80%";28;105,76;66
;;;;;"16 - 17 heures";"8,97%";20;84,1;38
;;;;;"17 - 18 heures";"14,72%";25;110,39;46
;;;;;"18 - 19 heures";"8,07%";17;89,02;29
;;;;;"19 - 20 heures";"7,00%";12;109,38;20
;;;;;"20 - 21 heures";"0,35%";1;65;1
;;"12 Février 2015";"12/02/2015";"Total";;"100,00%";"--";"--";404
;;;;"Jeudi";"Total";"100,00%";"--";"--";404
;;;;;"9 - 10 heures";"0,55%";1;116;2
;;;;;"10 - 11 heures";"1,11%";4;58,85;6
;;;;;"11 - 12 heures";"9,95%";14;150,1;41
;;;;;"12 - 13 heures";"9,76%";13;158,47;35
;;;;;"13 - 14 heures";"8,89%";15;125,13;28
;;;;;"14 - 15 heures";"6,68%";15;94,03;26
;;;;;"15 - 16 heures";"9,84%";18;115,39;51
;;;;;"16 - 17 heures";"14,94%";21;150,2;50
;;;;;"17 - 18 heures";"12,08%";31;82,31;53
;;;;;"18 - 19 heures";"12,52%";29;91,19;56
;;;;;"19 - 20 heures";"11,83%";19;131,44;45
;;;;;"20 - 21 heures";"1,85%";4;97,88;11
;;"13 Février 2015";"13/02/2015";"Total";;"100,00%";"--";"--";428
;;;;"Vendredi";"Total";"100,00%";"--";"--";428
